"Country","Gold Medal","Silver Medal","Bronze Medal"
"unitedstates","39","41","33"
"china","38","32","18"
"japan","27","14","17"
"unitedkingdom","22","21","22"
"russia","20","28","23"
"australia","17","7","22"
"netherlands","10","12","14"
"france","10","12","11"
"germany","10","11","16"
"italy","10","10","20"
"canada","7","6","11"
"brazil","7","6","8"
"newzealand","7","6"
"hungary","6","7","7"
"republicofkorea","6","4","10"
"poland","4","5","5"
"czechrepublic","4","4","3"
"kenya","4","4","2"
"norway","4","2","2"
"jamaica","4","1","4"
"spain","3","8","6"
"sweden","3","6","0"
"switzerland","3","4","6"
"denmark","3","4","4"
"croatia","3","3","2"
"islamicrepublicofiran","3","2","2"
"serbia","3","1","5"
"belgium","3","1","3"
"bulgaria","3","1","2"
"slovenia","3","1","1"
"georgia","2","5","1"
"taiwan","2","4","6"
"turkey","2","2","9"
"greece","2","1","1"
"uganda","2","1","1"
"ecuador","2","1","0"
"ireland","2","0","2"
"israel","2","0","2"
"qatar","2","0","1"
"ukraine","1","6","12"
"belarus","1","3","3"
"romania","1","3","0"
"venezuela","1","3","0"
"india","1","2","4"
"hongkong","1","2","3"
"philippines","1","2","1"
"slovakia","1","2","1"
"southafrica","1","2","0"
"austria","1","1","5"
"egypt","1","1","4"
"indonesia","1","1","3"
"ethiopia","1","1","2"